datetime,rperc_surf_sqkm,rpaverage,pavg+1std,pavg-1std
2007-07-21,49.5,51.5,53.0,49.5
2008-07-21,48.5,51.5,53.0,49.5
2009-07-21,49.0,51.5,53.0,49.5
2010-07-21,50.5,51.5,53.0,49.5
2011-07-21,50.0,51.5,53.0,49.5
2012-07-21,50.5,51.5,53.0,49.5
2013-07-21,51.5,51.5,53.0,49.5
2014-07-21,51.5,51.5,53.0,49.5
2015-07-21,49.5,51.5,53.0,49.5
2016-07-21,53.0,51.5,53.0,49.5
2017-07-21,51.5,51.5,53.0,49.5
2018-07-21,51.5,51.5,53.0,49.5
2019-07-21,51.5,51.5,53.0,49.5
2020-07-21,53.0,51.5,53.0,49.5
2021-07-21,53.0,51.5,53.0,49.5
2022-07-21,53.5,51.5,53.0,49.5
2023-07-21,55.0,51.5,53.0,49.5
