CNTR_ID,performance,
AF,-2,
BD,-2,
BT,-2,
IN,-2,
IR,-2,
MV,-2,
NP,-2,
PK,-2,
LK,-2,
DK,-13,
EE,-13,
FO,-13,
FI,-13,
GG,-13,
IS,-13,
IE,-13,
IM,-13,
JE,-13,
LV,-13,
LT,-13,
NO,-13,
SJ,-13,
SE,-13,
UK,-13,
AL,-3,
AD,-3,
BA,-3,
HR,-3,
GI,-3,
EL,-3,
VA,-3,
IT,-3,
MT,-3,
ME,-3,
MK,-3,
PT,-3,
SM,-3,
RS,-3,
SI,-3,
ES,-3,
DZ,8,
EG,8,
LY,8,
MA,8,
SD,8,
TN,8,
EH,8,
AS,18,
CK,18,
PF,18,
NU,18,
PN,18,
WS,18,
TK,18,
TO,18,
TV,18,
WF,18,
AO,0,
CM,0,
CF,0,
TD,0,
CG,0,
CD,0,
GQ,0,
GA,0,
ST,0,
AI,-2,
AG,-2,
AW,-2,
BS,-2,
BB,-2,
BQ,-2,
VG,-2,
KY,-2,
CU,-2,
CW,-2,
DM,-2,
DO,-2,
GD,-2,
HT,-2,
JM,-2,
MS,-2,
PR,-2,
BL,-2,
KN,-2,
LC,-2,
VC,-2,
SX,-2,
TT,-2,
TC,-2,
VI,-2,
AR,-1,
BO,-1,
BV,-1,
BR,-1,
CL,-1,
CO,-1,
EC,-1,
FK,-1,
GY,-1,
PY,-1,
PE,-1,
GS,-1,
SR,-1,
UY,-1,
VE,-1,
AM,0,
AZ,0,
BH,0,
CY,0,
GE,0,
IQ,0,
IL,0,
JO,0,
KW,0,
LB,0,
OM,0,
QA,0,
SA,0,
PS,0,
SY,0,
TR,0,
AE,0,
YE,0,
AU,20,
CX,20,
CC,20,
HM,20,
NZ,20,
NF,20,
AT,-12,
BE,-12,
FR,-12,
DE,-12,
LI,-12,
LU,-12,
MC,-12,
NL,-12,
CH,-12,
BY,-30,
BG,-30,
CZ,-30,
HU,-30,
PL,-30,
MD,-30,
RO,-30,
RU,-30,
SK,-30,
UA,-30,
BZ,2,
CR,2,
SV,2,
GT,2,
HN,2,
MX,2,
NI,2,
PA,2,
BJ,-3,
BF,-3,
CV,-3,
CI,-3,
GM,-3,
GH,-3,
GN,-3,
GW,-3,
LR,-3,
ML,-3,
MR,-3,
NE,-3,
NG,-3,
SH,-3,
SN,-3,
SL,-3,
TG,-3,
BM,-5,
CA,-5,
GL,-5,
PM,-5,
US,-5,
BW,39,
SZ,39,
LS,39,
,39,
ZA,39,
IO,-2,
BI,-2,
KM,-2,
DJ,-2,
ER,-2,
ET,-2,
TF,-2,
KE,-2,
MG,-2,
MW,-2,
MU,-2,
MZ,-2,
RW,-2,
SC,-2,
SO,-2,
SS,-2,
UG,-2,
TZ,-2,
ZM,-2,
ZW,-2,
BN,-7,
KH,-7,
ID,-7,
LA,-7,
MY,-7,
MM,-7,
PH,-7,
SG,-7,
TH,-7,
TL,-7,
VN,-7,
CN,-11,
HK,-11,
MO,-11,
KP,-11,
JP,-11,
MN,-11,
KR,-11,
FJ,5,
NC,5,
PG,5,
SB,5,
VU,5,
GU,50,
KI,50,
MH,50,
FM,50,
NR,50,
MP,50,
PW,50,
UM,50,
KZ,-21,
KG,-21,
TJ,-21,
TM,-21,
UZ,-21,
